x-axis,1,2,3
second,Volt,Volt,Volt
-8.33700E-03,-58.69347E-03,-44.22111E-03,+209.04522E-03
-8.32650E-03,-58.69347E-03,-44.82412E-03,+209.04522E-03
-8.31600E-03,-58.69347E-03,-44.22111E-03,+213.06532E-03
-8.30550E-03,-59.49749E-03,-45.02513E-03,+213.06532E-03
-8.29500E-03,-59.49749E-03,-44.62312E-03,+213.06532E-03
-8.28450E-03,-60.10050E-03,-44.82412E-03,+213.06532E-03
-8.27400E-03,-59.49749E-03,-45.02513E-03,+217.08542E-03
-8.26350E-03,-60.30151E-03,-45.02513E-03,+217.08542E-03
-8.25300E-03,-60.30151E-03,-45.42714E-03,+217.08542E-03
-8.24250E-03,-60.30151E-03,-45.82915E-03,+217.08542E-03
-8.23200E-03,-61.10553E-03,-45.82915E-03,+217.08542E-03
-8.22150E-03,-61.70854E-03,-45.82915E-03,+217.08542E-03
-8.21100E-03,-61.10553E-03,-45.82915E-03,+219.09548E-03
-8.20050E-03,-61.10553E-03,-45.82915E-03,+220.10050E-03
-8.19000E-03,-61.10553E-03,-45.82915E-03,+221.10553E-03
-8.17950E-03,-61.90955E-03,-46.63317E-03,+221.10553E-03
-8.16900E-03,-61.90955E-03,-46.23116E-03,+225.12563E-03
-8.15850E-03,-61.90955E-03,-46.63317E-03,+224.12060E-03
-8.14800E-03,-61.90955E-03,-46.63317E-03,+221.10553E-03
-8.13750E-03,-62.11055E-03,-46.63317E-03,+225.12563E-03
-8.12700E-03,-62.71357E-03,-47.03518E-03,+223.11558E-03
-8.11650E-03,-62.71357E-03,-47.43719E-03,+226.13065E-03
-8.10600E-03,-62.71357E-03,-47.43719E-03,+225.12563E-03
-8.09550E-03,-62.91457E-03,-47.43719E-03,+226.13065E-03
-8.08500E-03,-63.11558E-03,-47.43719E-03,+227.13568E-03
-8.07450E-03,-63.51759E-03,-47.43719E-03,+225.12563E-03
-8.06400E-03,-63.51759E-03,-48.24121E-03,+225.12563E-03
-8.05350E-03,-63.51759E-03,-47.63819E-03,+229.14573E-03
-8.04300E-03,-63.51759E-03,-47.83920E-03,+231.15578E-03
-8.03250E-03,-63.71859E-03,-48.44221E-03,+229.14573E-03
-8.02200E-03,-63.51759E-03,-48.24121E-03,+229.14573E-03
-8.01150E-03,-63.71859E-03,-48.24121E-03,+232.16080E-03
-8.00100E-03,-64.32161E-03,-48.64322E-03,+231.15578E-03
-7.99050E-03,-64.52261E-03,-48.24121E-03,+233.16583E-03
-7.98000E-03,-65.12563E-03,-48.24121E-03,+233.16583E-03
-7.96950E-03,-65.12563E-03,-49.04523E-03,+233.16583E-03
-7.95900E-03,-65.12563E-03,-49.04523E-03,+233.16583E-03
-7.94850E-03,-65.12563E-03,-49.04523E-03,+237.18593E-03
-7.93800E-03,-65.12563E-03,-49.04523E-03,+233.16583E-03
-7.92750E-03,-65.12563E-03,-49.04523E-03,+234.17085E-03
-7.91700E-03,-65.12563E-03,-49.04523E-03,+233.16583E-03
-7.90650E-03,-65.72864E-03,-49.24623E-03,+236.18090E-03
-7.89600E-03,-65.92965E-03,-49.84925E-03,+237.18593E-03
-7.88550E-03,-65.92965E-03,-49.84925E-03,+237.18593E-03
-7.87500E-03,-65.92965E-03,-49.44724E-03,+237.18593E-03
-7.86450E-03,-65.92965E-03,-49.84925E-03,+237.18593E-03
-7.85400E-03,-65.92965E-03,-49.84925E-03,+237.18593E-03
-7.84350E-03,-65.92965E-03,-49.84925E-03,+240.20100E-03
-7.83300E-03,-66.73367E-03,-49.84925E-03,+239.19598E-03
-7.82250E-03,-66.73367E-03,-49.84925E-03,+237.18593E-03
-7.81200E-03,-65.92965E-03,-49.84925E-03,+237.18593E-03
-7.80150E-03,-66.73367E-03,-49.84925E-03,+238.19095E-03
-7.79100E-03,-66.73367E-03,-49.84925E-03,+241.20603E-03
-7.78050E-03,-66.73367E-03,-49.84925E-03,+238.19095E-03
-7.77000E-03,-66.73367E-03,-49.84925E-03,+237.18593E-03
-7.75950E-03,-66.73367E-03,-50.45226E-03,+244.22110E-03
-7.74900E-03,-66.73367E-03,-50.25126E-03,+241.20603E-03
-7.73850E-03,-66.93467E-03,-50.65327E-03,+241.20603E-03
-7.72800E-03,-66.73367E-03,-49.84925E-03,+241.20603E-03
-7.71750E-03,-66.73367E-03,-50.45226E-03,+241.20603E-03
-7.70700E-03,-67.53769E-03,-50.65327E-03,+243.21608E-03
-7.69650E-03,-66.73367E-03,-50.45226E-03,+241.20603E-03
-7.68600E-03,-66.73367E-03,-50.65327E-03,+241.20603E-03
-7.67550E-03,-67.53769E-03,-50.45226E-03,+241.20603E-03
-7.66500E-03,-67.53769E-03,-50.65327E-03,+241.20603E-03
-7.65450E-03,-67.53769E-03,-50.65327E-03,+245.22613E-03
-7.64400E-03,-66.73367E-03,-50.65327E-03,+241.20603E-03
-7.63350E-03,-67.53769E-03,-50.65327E-03,+241.20603E-03
-7.62300E-03,-67.53769E-03,-50.65327E-03,+241.20603E-03
-7.61250E-03,-67.53769E-03,-50.65327E-03,+241.20603E-03
-7.60200E-03,-67.53769E-03,-50.65327E-03,+245.22613E-03
-7.59150E-03,-67.53769E-03,-50.65327E-03,+244.22110E-03
-7.58100E-03,-67.53769E-03,-50.65327E-03,+245.22613E-03
-7.57050E-03,-67.53769E-03,-50.65327E-03,+245.22613E-03
-7.56000E-03,-67.53769E-03,-50.65327E-03,+241.20603E-03
-7.54950E-03,-67.53769E-03,-51.25628E-03,+242.21105E-03
-7.53900E-03,-67.53769E-03,-51.05528E-03,+243.21608E-03
-7.52850E-03,-67.53769E-03,-50.85427E-03,+242.21105E-03
-7.51800E-03,-67.53769E-03,-50.65327E-03,+245.22613E-03
-7.50750E-03,-68.14070E-03,-50.65327E-03,+242.21105E-03
-7.49700E-03,-67.53769E-03,-50.65327E-03,+243.21608E-03
-7.48650E-03,-67.53769E-03,-50.65327E-03,+242.21105E-03
-7.47600E-03,-67.53769E-03,-51.45729E-03,+241.20603E-03
-7.46550E-03,-68.14070E-03,-50.65327E-03,+241.20603E-03
-7.45500E-03,-67.53769E-03,-50.65327E-03,+243.21608E-03
-7.44450E-03,-68.14070E-03,-50.65327E-03,+244.22110E-03
-7.43400E-03,-67.53769E-03,-51.45729E-03,+241.20603E-03
-7.42350E-03,-67.53769E-03,-50.65327E-03,+245.22613E-03
-7.41300E-03,-67.53769E-03,-51.05528E-03,+243.21608E-03
-7.40250E-03,-67.53769E-03,-50.65327E-03,+245.22613E-03
-7.39200E-03,-67.53769E-03,-50.65327E-03,+245.22613E-03
-7.38150E-03,-67.53769E-03,-50.65327E-03,+242.21105E-03
-7.37100E-03,-67.13568E-03,-50.65327E-03,+243.21608E-03
-7.36050E-03,-67.33668E-03,-50.65327E-03,+241.20603E-03
-7.35000E-03,-67.53769E-03,-50.65327E-03,+245.22613E-03
-7.33950E-03,-67.53769E-03,-50.65327E-03,+242.21105E-03
-7.32900E-03,-67.53769E-03,-50.65327E-03,+243.21608E-03
-7.31850E-03,-67.53769E-03,-50.65327E-03,+241.20603E-03
-7.30800E-03,-67.53769E-03,-49.84925E-03,+245.22613E-03
-7.29750E-03,-66.73367E-03,-50.65327E-03,+242.21105E-03
-7.28700E-03,-67.13568E-03,-50.25126E-03,+239.19598E-03
-7.27650E-03,-67.33668E-03,-50.65327E-03,+237.18593E-03
-7.26600E-03,-66.73367E-03,-50.65327E-03,+241.20603E-03
-7.25550E-03,-65.52764E-03,-49.44724E-03,+238.19095E-03
-7.24500E-03,-66.73367E-03,-50.25126E-03,+239.19598E-03
-7.23450E-03,-66.73367E-03,-49.84925E-03,+240.20100E-03
-7.22400E-03,-66.73367E-03,-49.84925E-03,+237.18593E-03
-7.21350E-03,-66.73367E-03,-49.84925E-03,+240.20100E-03
-7.20300E-03,-66.73367E-03,-49.84925E-03,+241.20603E-03
-7.19250E-03,-66.13065E-03,-49.84925E-03,+240.20100E-03
-7.18200E-03,-66.73367E-03,-49.84925E-03,+241.20603E-03
-7.17150E-03,-66.13065E-03,-49.64824E-03,+237.18593E-03
-7.16100E-03,-66.33166E-03,-49.84925E-03,+237.18593E-03
-7.15050E-03,-65.92965E-03,-49.64824E-03,+240.20100E-03
-7.14000E-03,-66.73367E-03,-49.04523E-03,+233.16583E-03
-7.12950E-03,-65.92965E-03,-49.04523E-03,+237.18593E-03
-7.11900E-03,-65.92965E-03,-49.44724E-03,+237.18593E-03
-7.10850E-03,-65.92965E-03,-49.04523E-03,+237.18593E-03
-7.09800E-03,-65.12563E-03,-49.84925E-03,+233.16583E-03
-7.08750E-03,-65.12563E-03,-49.04523E-03,+237.18593E-03
-7.07700E-03,-65.92965E-03,-49.04523E-03,+235.17588E-03
-7.06650E-03,-65.72864E-03,-49.04523E-03,+237.18593E-03
-7.05600E-03,-65.12563E-03,-49.04523E-03,+233.16583E-03
-7.04550E-03,-65.12563E-03,-49.04523E-03,+233.16583E-03
-7.03500E-03,-65.12563E-03,-49.04523E-03,+233.16583E-03
-7.02450E-03,-64.92462E-03,-48.44221E-03,+232.16080E-03
-7.01400E-03,-64.32161E-03,-49.04523E-03,+233.16583E-03
-7.00350E-03,-64.52261E-03,-48.24121E-03,+227.13568E-03
-6.99300E-03,-64.32161E-03,-48.24121E-03,+231.15578E-03
-6.98250E-03,-63.71859E-03,-48.04020E-03,+230.15075E-03
-6.97200E-03,-64.32161E-03,-47.43719E-03,+229.14573E-03
-6.96150E-03,-64.32161E-03,-48.24121E-03,+229.14573E-03
-6.95100E-03,-63.51759E-03,-48.24121E-03,+229.14573E-03
-6.94050E-03,-63.51759E-03,-47.63819E-03,+229.14573E-03
-6.93000E-03,-63.51759E-03,-48.24121E-03,+229.14573E-03
-6.91950E-03,-63.51759E-03,-47.43719E-03,+229.14573E-03
-6.90900E-03,-62.71357E-03,-47.43719E-03,+227.13568E-03
